Brand,Model,Varient,Engine,Year
Audi,A3,1.8,Petrol,2015-2016
Audi,A3,2,Diesel,2015-2016
Audi,"A3 35",2,Diesel,2016-2018
Audi,"A3 40",1.8,Petrol,2016-2018
Audi,"A3 Cabriolet",1.8,Petrol,2014-2018
Audi,A4,1.4,Petrol,2016-2018
Audi,A4,1.8,Petrol,2008-2016
Audi,A4,2,Diesel,2007-2016
Audi,A4,3,Diesel,2011-2016
Audi,"A4 Quattro",1.8,Petrol,2011-2016
Audi,"A4 Quattro",2,Diesel,2008-2016
Audi,"A4 Quattro",3,Diesel,2011-2016
Audi,"A4 Quattro",3.2,Petrol,2012-2016
Audi,A5,4.2,Petrol,2014-2015
Audi,A6,2,Diesel,2008-2011
Audi,A6,3,Diesel,2004-2011
Audi,A6,3.2,Petrol,2009-2011
Audi,"A6 (4G2)",2,Diesel,2011-2017
Audi,"A6 (4G2)",2,Petrol,2011-2017
Audi,"A6 (4G2)",3,Diesel,2011-2017
Audi,"A6 (4G2) Quattro",2.8,Petrol,2011-2017
Audi,"A6 (4G2) Quattro",3,Diesel,2011-2017
Audi,"A6 (4G2) Quattro",3,Petrol,2011-2017
Audi,"A6 Matrix",1.8,Petrol,2015-2018
Audi,"A6 Matrix",2,Diesel,2015-2018
Audi,"A6 Quattro",2.4,Petrol,2005-2008
Audi,"A6 Quattro",2.7,Diesel,2004-2008
Audi,"A7 Quattro",3,Diesel,2011-2015
Audi,A8,2.8,Petrol,2007-2010
Audi,"A8 (4H)",3,Diesel,2010-2015
Audi,"A8 (4H) Quattro",3,Diesel,2010-2015
Audi,"A8 (4H) Quattro",3,Petrol,2010-2015
Audi,"A8 (4H) Quattro",4,Petrol,2011-2015
Audi,"A8 (4H) Quattro",4.2,Diesel,2011-2015
Audi,"A8 L Quattro",3,Diesel,2016-2018
Audi,"A8 L Quattro",4,Petrol,2016-2018
Audi,"A8 L Quattro",4.2,Diesel,2016-2018
